Name,ProductName,OrderDate,ProductUnitPrice,QuantityOrdered,Total
Eduardo Saavedra,Louisiana Fiery Hot Pepper Sauce,20121128,21.05,5,105.25
Eduardo Saavedra,Original Frankfurter grüne Soße,20121128,13.0,5,65.0
Eduardo Saavedra,Gnocchi di nonna Alice,20130127,38.0,5,190.0
Eduardo Saavedra,Wimmers gute Semmelknödel,20130127,33.25,7,232.75
Eduardo Saavedra,Ikura,20130613,31.0,5,155.0
Eduardo Saavedra,NuNuCa Nuß-Nougat-Creme,20140213,14.0,5,70.0
Eduardo Saavedra,Zaanse koeken,20140305,9.5,5,47.5
Eduardo Saavedra,Lakkalikööri,20140305,18.0,5,90.0
Eduardo Saavedra,Rössle Sauerkraut,20140506,45.6,46,2097.6
Eduardo Saavedra,Valkoinen suklaa,20140506,16.25,16,260.0
Eduardo Saavedra,NuNuCa Nuß-Nougat-Creme,20140506,14.0,11,154.0
Eduardo Saavedra,Chef Anton's Cajun Seasoning,20140506,22.0,15,330.0
Eduardo Saavedra,Manjimup Dried Apples,20140506,53.0,39,2067.0
Eduardo Saavedra,Chai,20140506,18.0,7,126.0
Eduardo Saavedra,Ikura,20140506,31.0,43,1333.0
Eduardo Saavedra,Sasquatch Ale,20140506,14.0,26,364.0
Eduardo Saavedra,Queso Manchego La Pastora,20140506,38.0,25,950.0
Eduardo Saavedra,Rogede sild,20140506,9.5,28,266.0
Eduardo Saavedra,Filo Mix,20140506,7.0,31,217.0
Eduardo Saavedra,Sir Rodney's Marmalade,20140506,81.0,23,1863.0
Eduardo Saavedra,Outback Lager,20140506,15.0,49,735.0
Eduardo Saavedra,Teatime Chocolate Biscuits,20140506,9.2,28,257.6
Eduardo Saavedra,Spegesild,20140506,12.0,49,588.0
Eduardo Saavedra,Pâté chinois,20140506,24.0,45,1080.0
Eduardo Saavedra,Raclette Courdavault,20140506,55.0,3,165.0
Eduardo Saavedra,Mozzarella di Giovanni,20140506,34.8,27,939.6
Eduardo Saavedra,Original Frankfurter grüne Soße,20140506,13.0,34,442.0
Eduardo Saavedra,Mishi Kobe Niku,20140506,97.0,15,1455.0
Eduardo Saavedra,Chocolade,20140506,12.75,18,229.5
Eduardo Saavedra,Gnocchi di nonna Alice,20140506,38.0,5,190.0
Eduardo Saavedra,Sir Rodney's Scones,20140506,10.0,39,390.0
Eduardo Saavedra,Escargots de Bourgogne,20140506,13.25,2,26.5
Eduardo Saavedra,Louisiana Fiery Hot Pepper Sauce,20140506,21.05,27,568.35
Eduardo Saavedra,Longlife Tofu,20140506,10.0,22,220.0
Eduardo Saavedra,Tunnbröd,20140506,9.0,45,405.0
Eduardo Saavedra,Louisiana Hot Spiced Okra,20140506,17.0,9,153.0
Eduardo Saavedra,Tourtière,20140506,7.45,10,74.5
Eduardo Saavedra,Gudbrandsdalsost,20140506,36.0,5,180.0
Eduardo Saavedra,Chang,20140506,19.0,10,190.0
Eduardo Saavedra,Camembert Pierrot,20140506,34.0,18,612.0
Eduardo Saavedra,Flotemysost,20140506,21.5,19,408.5
Eduardo Saavedra,Gorgonzola Telino,20140506,12.5,46,575.0
Eduardo Saavedra,Sirop d'érable,20140506,28.5,17,484.5
Eduardo Saavedra,Steeleye Stout,20140506,18.0,20,360.0
Eduardo Saavedra,Röd Kaviar,20140506,15.0,18,270.0
Eduardo Saavedra,Ipoh Coffee,20140506,46.0,25,1150.0
Eduardo Saavedra,Jack's New England Clam Chowder,20140506,9.65,37,357.05
Eduardo Saavedra,Chef Anton's Gumbo Mix,20130301,21.35,10,213.5
Eduardo Saavedra,Uncle Bob's Organic Dried Pears,20130301,30.0,24,720.0
Eduardo Saavedra,Ravioli Angelo,20130301,19.5,29,565.5
Eduardo Saavedra,Teatime Chocolate Biscuits,20130301,9.2,24,220.8
Eduardo Saavedra,Rössle Sauerkraut,20130301,45.6,34,1550.4
Eduardo Saavedra,Rhönbräu Klosterbier,20130301,7.75,44,341.0
Eduardo Saavedra,Tarte au sucre,20130301,49.3,46,2267.8
Eduardo Saavedra,Queso Manchego La Pastora,20130301,38.0,27,1026.0
Eduardo Saavedra,Sirop d'érable,20130301,28.5,13,370.5
Eduardo Saavedra,Louisiana Fiery Hot Pepper Sauce,20130301,21.05,48,1010.4
Eduardo Saavedra,Tofu,20130301,23.25,2,46.5
Eduardo Saavedra,Nord-Ost Matjeshering,20130301,25.89,46,1190.94
Eduardo Saavedra,Inlagd Sill,20130301,19.0,7,133.0
Eduardo Saavedra,Filo Mix,20130301,7.0,4,28.0
Eduardo Saavedra,Vegie-spread,20130301,43.9,32,1404.8
Eduardo Saavedra,Outback Lager,20130301,15.0,16,240.0
Eduardo Saavedra,Tunnbröd,20130301,9.0,27,243.0
Eduardo Saavedra,Laughing Lumberjack Lager,20130301,14.0,26,364.0
Eduardo Saavedra,Mishi Kobe Niku,20130301,97.0,46,4462.0
Eduardo Saavedra,Gnocchi di nonna Alice,20130301,38.0,10,380.0
Eduardo Saavedra,Chartreuse verte,20130301,18.0,12,216.0
Eduardo Saavedra,Gudbrandsdalsost,20130301,36.0,38,1368.0
Eduardo Saavedra,Aniseed Syrup,20130301,10.0,11,110.0
Eduardo Saavedra,Geitost,20130301,2.5,5,12.5
Eduardo Saavedra,Northwoods Cranberry Sauce,20130301,40.0,46,1840.0
Eduardo Saavedra,Ipoh Coffee,20130301,46.0,19,874.0
Eduardo Saavedra,Lakkalikööri,20130301,18.0,20,360.0
Eduardo Saavedra,Gustaf's Knäckebröd,20130301,21.0,14,294.0
Eduardo Saavedra,Chocolade,20130301,12.75,12,153.0
Eduardo Saavedra,Ikura,20130301,31.0,27,837.0
Eduardo Saavedra,Schoggi Schokolade,20130301,43.9,25,1097.5
Eduardo Saavedra,Thüringer Rostbratwurst,20130301,123.79,7,866.53
