Name,ProductName,OrderDate,ProductUnitPrice,QuantityOrdered,Total
Alejandra Camino,Teatime Chocolate Biscuits,20120814,9.2,1,9.2
Alejandra Camino,Guaraná Fantástica,20120814,4.5,6,27.0
Alejandra Camino,Steeleye Stout,20120814,18.0,4,72.0
Alejandra Camino,Nord-Ost Matjeshering,20120815,25.89,6,155.34
Alejandra Camino,Ravioli Angelo,20120815,19.5,2,39.0
Alejandra Camino,Nord-Ost Matjeshering,20120916,25.89,10,258.9
Alejandra Camino,Perth Pasties,20120916,32.8,10,328.0
Alejandra Camino,Tourtière,20120916,7.45,5,37.25
Alejandra Camino,Nord-Ost Matjeshering,20140302,25.89,1,25.89
Alejandra Camino,Camembert Pierrot,20140302,34.0,10,340.0
Alejandra Camino,Tunnbröd,20140409,9.0,10,90.0
Alejandra Camino,Singaporean Hokkien Fried Mee,20140409,14.0,4,56.0
Alejandra Camino,Rogede sild,20140409,9.5,20,190.0
Alejandra Camino,Scottish Longbreads,20140409,12.5,2,25.0
Alejandra Camino,Flotemysost,20141107,21.5,49,1053.5
Alejandra Camino,Louisiana Hot Spiced Okra,20141107,17.0,28,476.0
Alejandra Camino,Chocolade,20141107,12.75,33,420.75
Alejandra Camino,Carnarvon Tigers,20141107,62.5,4,250.0
Alejandra Camino,Northwoods Cranberry Sauce,20141107,40.0,20,800.0
Alejandra Camino,Gravad lax,20141107,26.0,1,26.0
Alejandra Camino,Jack's New England Clam Chowder,20141107,9.65,50,482.5
Alejandra Camino,Steeleye Stout,20141107,18.0,14,252.0
Alejandra Camino,Chef Anton's Cajun Seasoning,20151213,22.0,24,528.0
Alejandra Camino,Ravioli Angelo,20151213,19.5,8,156.0
Alejandra Camino,Pavlova,20151213,17.45,4,69.8
Alejandra Camino,Tourtière,20151213,7.45,43,320.35
Alejandra Camino,Gorgonzola Telino,20151213,12.5,43,537.5
Alejandra Camino,Genen Shouyu,20151213,15.5,14,217.0
Alejandra Camino,Manjimup Dried Apples,20151213,53.0,15,795.0
